********************************************************************************************
* Machine    : sanbgw:SanBGW (SanBGW) (Instance001)                                        *
* IP Addrs   : 192.168.1.190                                                               *
* Module     : cvd                                                                         *
* Commserver : :                                                                           *
* Version    : 11.2801.20                                                                  *
* Date       : 2022/06/30 (Pacific Standard Time GMT-08:00)                                *
* OS Type    : Windows Server 2019 DatacenterMajor.: 6, Minor.: 2 Server 4.0  (Build 9200) *
********************************************************************************************

4584  c68   06/30 06:44:10 ### CvPeriodicTaskStatus::loadCbFuncs() - [CVD PeriodicTask][CheckServicePackUpdate] Successfully loaded library [C:\Program Files\Metallic\ContentStore\Base\CVInstallClient.dll].
4584  c68   06/30 06:44:10 ### CvPeriodicTaskMgr::CvPeriodicTaskMgr() - Adding task [CVD PeriodicTask][CheckServicePackUpdate]
4584  c68   06/30 06:44:10 ### CvPeriodicTaskStatus::loadCbFuncs() - [CVD PeriodicTask][ProcessInstallRequest] Successfully loaded library [C:\Program Files\Metallic\ContentStore\Base\CVInstallClient.dll].
4584  c68   06/30 06:44:10 ### CvPeriodicTaskMgr::CvPeriodicTaskMgr() - Adding task [CVD PeriodicTask][ProcessInstallRequest]
4584  c68   06/30 06:44:10 ### CvPeriodicTaskStatus::loadCbFuncs() - [CVD PeriodicTask][UpdateClientBaseline] Successfully loaded library [C:\Program Files\Metallic\ContentStore\Base\CVInstallClient.dll].
4584  c68   06/30 06:44:10 ### CvPeriodicTaskMgr::CvPeriodicTaskMgr() - Adding task [CVD PeriodicTask][UpdateClientBaseline]
4584  c68   06/30 06:44:10 ### CvPeriodicTaskStatus::loadCbFuncs() - [CVD PeriodicTask][CheckUpdatesAlerts] Successfully loaded library [C:\Program Files\Metallic\ContentStore\Base\CVInstallClient.dll].
4584  c68   06/30 06:44:10 ### CvPeriodicTaskMgr::CvPeriodicTaskMgr() - Adding task [CVD PeriodicTask][CheckUpdatesAlerts]
4584  c68   06/30 06:44:10 ### CvPeriodicTaskStatus::loadCbFuncs() - [CVD PeriodicTask][JobResultsCleanup] Successfully loaded library [C:\Program Files\Metallic\ContentStore\Base\LibSnooper.dll].
4584  c68   06/30 06:44:10 ### CvPeriodicTaskMgr::CvPeriodicTaskMgr() - Adding task [CVD PeriodicTask][JobResultsCleanup]
4584  c68   06/30 06:44:10 ### CvPeriodicTaskStatus::loadCbFuncs() - [CVD PeriodicTask][IndexCacheMaintenance] Successfully loaded library [C:\Program Files\Metallic\ContentStore\Base\LibSnooper.dll].
4584  c68   06/30 06:44:10 ### CvPeriodicTaskMgr::CvPeriodicTaskMgr() - Adding task [CVD PeriodicTask][IndexCacheMaintenance]
4584  c68   06/30 06:44:10 ### CvPeriodicTaskStatus::loadCbFuncs() - [CVD PeriodicTask][IndexStatAnalysis] Successfully loaded library [C:\Program Files\Metallic\ContentStore\Base\LibSnooper.dll].
4584  c68   06/30 06:44:10 ### CvPeriodicTaskMgr::CvPeriodicTaskMgr() - Adding task [CVD PeriodicTask][IndexStatAnalysis]
4584  c68   06/30 06:44:10 ### CvPeriodicTaskStatus::loadCbFuncs() - [CVD PeriodicTask][Start3dnfsd] Successfully loaded library [C:\Program Files\Metallic\ContentStore\Base\CVObjStoreWorkQHandler.dll].
4584  c68   06/30 06:44:10 ### CvPeriodicTaskMgr::CvPeriodicTaskMgr() - Adding task [CVD PeriodicTask][Start3dnfsd]
4584  c68   06/30 06:44:10 ### CvPeriodicTaskStatus::loadCbFuncs() - [CVD PeriodicTask][RegistryDownload] Successfully loaded library [C:\Program Files\Metallic\ContentStore\Base\RegistryMgrClnt.dll].
4584  c68   06/30 06:44:10 ### CvPeriodicTaskMgr::CvPeriodicTaskMgr() - Adding task [CVD PeriodicTask][RegistryDownload]
4584  c68   06/30 06:44:10 ### CvPeriodicTaskStatus::loadCbFuncs() - [CVD PeriodicTask][AdditionalSettingsRefresh] Successfully loaded library [C:\Program Files\Metallic\ContentStore\Base\RegistryMgrClnt.dll].
4584  c68   06/30 06:44:10 ### CvPeriodicTaskMgr::CvPeriodicTaskMgr() - Adding task [CVD PeriodicTask][AdditionalSettingsRefresh]
4584  c68   06/30 06:44:10 ### CvPeriodicTaskStatus::loadCbFuncs() - [CVD PeriodicTask][AutoDetectApp] Successfully loaded library [C:\Program Files\Metallic\ContentStore\Base\clBrowse.dll].
4584  c68   06/30 06:44:10 ### CvPeriodicTaskMgr::CvPeriodicTaskMgr() - Adding task [CVD PeriodicTask][AutoDetectApp]
