********************************************************************************************
* Machine    : sanbgw:SanBGW (SanBGW) (Instance001)                                        *
* IP Addrs   : 192.168.1.190                                                               *
* Module     : BlrSvc                                                                      *
* Commserver : :                                                                           *
* Version    : 11.2801.20                                                                  *
* Date       : 2022/06/30 (Pacific Standard Time GMT-08:00)                                *
* OS Type    : Windows Server 2019 DatacenterMajor.: 6, Minor.: 2 Server 4.0  (Build 9200) *
********************************************************************************************

6920  19f0  06/30 06:57:39 ### CVMDiskInfo::LoadVDDKLibrary() - Successfully loaded VDDK Lib (libldap_r.dll) from C:\Program Files\Metallic\ContentStore\Base\VMware\VDDK\VDDK602\bin\libldap_r.dll
6920  19f0  06/30 06:57:39 ### CVMDiskInfo::LoadVDDKLibrary() - Successfully loaded VDDK Lib (libcurl.dll) from C:\Program Files\Metallic\ContentStore\Base\VMware\VDDK\VDDK602\bin\libcurl.dll
6920  19f0  06/30 06:57:39 ### CCvNetworkServer::CCvNetworkServer() - CvNetworkServer is using Asynchronous IO model
6920  1528  06/30 06:57:39 ### CBLRVMBootManager::_CleanUpExpiredVMs() - VM Boot Manager's cleanup thread started.
6920  19f0  06/30 06:57:39 ### Successfully started GUI Msg Helper
6920  19f0  06/30 06:57:39 ### BlrTailSvc::init() - Initializing
6920  19f0  06/30 06:57:39 ### BlrTailSvc::createSockets() - Successfully bound IPv4 replication socket to 0.0.0.0:51020
6920  19f0  06/30 06:57:39 ### BlrCtrlSvc::init() - Initializing
6920  19f0  06/30 06:57:39 ### BlrCtrlSvc::createSockets() - Successfully bound IPv4 control server socket to 0.0.0.0:51023
6920  e74   06/30 06:57:39 ### Starting boot "blr_gui_msgs_client" server
6920  e74   06/30 06:57:39 ### CCvIOCPServer::Start() - Launching 2 IOCP worker threads. To override, use session/BlrSvc_IOCPThreads DWORD registry entry
6920  e74   06/30 06:57:39 ### CCvNetworkServer::SelectData() - No port is specifed by user. Check if saved port can be reused
6920  e74   06/30 06:57:39 ### CCvNetworkServer::SelectData() - Listening on port blr_gui_msgs_client/50782/0
6920  1528  06/30 06:58:39 ### Number of Boot VMs=0, client id=8426
6920  1528  06/30 06:59:39 ### Number of Boot VMs=0, client id=8426
6920  1528  06/30 07:00:39 ### Number of Boot VMs=0, client id=8426
6920  1528  06/30 07:01:39 ### Number of Boot VMs=0, client id=8426
6920  1838  06/30 07:02:39 ### TPool [WriterPool]. Ser# [0] Tot [1], Pend [1], Comp [0], Max Par [1], Avg Work Time [0.00 s], Avg Wait Time [0.00 s]
6920  1838  06/30 07:02:39 ### TPool [IOCPServerPool_blr_gui_msgs_client]. Ser# [1] Tot [2], Pend [2], Comp [0], Max Par [2], Avg Work Time [0.00 s], Avg Wait Time [0.00 s]
6920  1528  06/30 07:02:39 ### Number of Boot VMs=0, client id=8426
6920  1528  06/30 07:03:40 ### Number of Boot VMs=0, client id=8426
6920  1528  06/30 07:04:40 ### Number of Boot VMs=0, client id=8426
6920  1528  06/30 07:05:40 ### Number of Boot VMs=0, client id=8426
6920  1528  06/30 07:06:40 ### Number of Boot VMs=0, client id=8426
6920  1838  06/30 07:07:39 ### TPool [WriterPool]. Ser# [0] Tot [1], Pend [1], Comp [0], Max Par [0], Avg Work Time [0.00 s], Avg Wait Time [0.00 s]
6920  1838  06/30 07:07:39 ### TPool [IOCPServerPool_blr_gui_msgs_client]. Ser# [1] Tot [2], Pend [2], Comp [0], Max Par [0], Avg Work Time [0.00 s], Avg Wait Time [0.00 s]
6920  1528  06/30 07:07:40 ### Number of Boot VMs=0, client id=8426
6920  1528  06/30 07:08:40 ### Number of Boot VMs=0, client id=8426
6920  1528  06/30 07:09:40 ### Number of Boot VMs=0, client id=8426
6920  1528  06/30 07:10:40 ### Number of Boot VMs=0, client id=8426
6920  1528  06/30 07:11:40 ### Number of Boot VMs=0, client id=8426
6920  1838  06/30 07:12:39 ### TPool [WriterPool]. Ser# [0] Tot [1], Pend [1], Comp [0], Max Par [0], Avg Work Time [0.00 s], Avg Wait Time [0.00 s]
