********************************************************************************************
* Machine    : sanbgw:SanBGW (SanBGW) (Instance001)                                        *
* IP Addrs   : 192.168.1.190                                                               *
* Module     : DLP                                                                         *
* Commserver : :                                                                           *
* Version    : 11.2801.20                                                                  *
* Date       : 2022/06/30 (Pacific Standard Time GMT-08:00)                                *
* OS Type    : Windows Server 2019 DatacenterMajor.: 6, Minor.: 2 Server 4.0  (Build 9200) *
********************************************************************************************

4464  1470  06/30 07:23:28 ### Registry_Init(113) [TID=FFFFA402C6F85040, 2022/06/30 14:23:27.886634Z] +++ Registry=[0xFFFF86873F3D7C60]
4464  1470  06/30 07:23:28 ### Registry_Init(124) [TID=FFFFA402C6F85040, 2022/06/30 14:23:27.886647Z] --- Registry=[0xFFFF86873F3D7C60], status=[0x00000000]
4464  1470  06/30 07:23:28 ### Registry_Cleanup(139) [TID=FFFFA402C6F85040, 2022/06/30 14:23:27.886713Z] +++ Registry=[0xFFFF86873F3D7C60]
4464  1470  06/30 07:23:28 ### Registry_Cleanup(149) [TID=FFFFA402C6F85040, 2022/06/30 14:23:27.886726Z] --- Registry=[0xFFFF86873F3D7C60]
4464  1470  06/30 07:23:28 ### DriverEntry(396) [TID=FFFFA402C6F85040, 2022/06/30 14:23:27.886738Z] ---
4464  1470  06/30 07:23:28 ### Registry_Init(113) [TID=FFFFA402CD3282C0, 2022/06/30 14:23:27.938741Z] +++ Registry=[0xFFFF86873F3D7B10]
4464  1470  06/30 07:23:28 ### Registry_Init(124) [TID=FFFFA402CD3282C0, 2022/06/30 14:23:27.938750Z] --- Registry=[0xFFFF86873F3D7B10], status=[0x00000000]
4464  1470  06/30 07:23:28 ### Registry_Init(113) [TID=FFFFA402CD3282C0, 2022/06/30 14:23:27.938777Z] +++ Registry=[0xFFFF86873F3D7D80]
4464  1470  06/30 07:23:28 ### Registry_Init(124) [TID=FFFFA402CD3282C0, 2022/06/30 14:23:27.938786Z] --- Registry=[0xFFFF86873F3D7D80], status=[0x00000000]
4464  1470  06/30 07:23:28 ### Registry_Cleanup(139) [TID=FFFFA402CD3282C0, 2022/06/30 14:23:27.938801Z] +++ Registry=[0xFFFF86873F3D7D80]
4464  1470  06/30 07:23:28 ### Registry_Cleanup(149) [TID=FFFFA402CD3282C0, 2022/06/30 14:23:27.938809Z] --- Registry=[0xFFFF86873F3D7D80]
4464  1470  06/30 07:23:28 ### Registry_Init(113) [TID=FFFFA402CD3282C0, 2022/06/30 14:23:27.938828Z] +++ Registry=[0xFFFF868739FEE9D0]
4464  1470  06/30 07:23:28 ### Registry_Init(124) [TID=FFFFA402CD3282C0, 2022/06/30 14:23:27.938837Z] --- Registry=[0xFFFF868739FEE9D0], status=[0x00000000]
4464  1470  06/30 07:23:28 ### Registry_Cleanup(139) [TID=FFFFA402CD3282C0, 2022/06/30 14:23:27.938852Z] +++ Registry=[0xFFFF868739FEE9D0]
4464  1470  06/30 07:23:28 ### Registry_Cleanup(149) [TID=FFFFA402CD3282C0, 2022/06/30 14:23:27.938861Z] --- Registry=[0xFFFF868739FEE9D0]
4464  1470  06/30 07:23:28 ### Registry_Init(113) [TID=FFFFA402CD3282C0, 2022/06/30 14:23:27.938878Z] +++ Registry=[0xFFFF86873D191D50]
4464  1470  06/30 07:23:28 ### Registry_Init(124) [TID=FFFFA402CD3282C0, 2022/06/30 14:23:27.938886Z] --- Registry=[0xFFFF86873D191D50], status=[0x00000000]
4464  1470  06/30 07:23:28 ### Registry_Cleanup(139) [TID=FFFFA402CD3282C0, 2022/06/30 14:23:27.938901Z] +++ Registry=[0xFFFF86873D191D50]
4464  1470  06/30 07:23:28 ### Registry_Cleanup(149) [TID=FFFFA402CD3282C0, 2022/06/30 14:23:27.938909Z] --- Registry=[0xFFFF86873D191D50]
4464  1470  06/30 07:23:28 ### Registry_Init(113) [TID=FFFFA402CD3282C0, 2022/06/30 14:23:27.938925Z] +++ Registry=[0xFFFF86873D1923E0]
4464  1470  06/30 07:23:28 ### Registry_Init(124) [TID=FFFFA402CD3282C0, 2022/06/30 14:23:27.938933Z] --- Registry=[0xFFFF86873D1923E0], status=[0x00000000]
4464  1470  06/30 07:23:28 ### Registry_Cleanup(139) [TID=FFFFA402CD3282C0, 2022/06/30 14:23:27.938947Z] +++ Registry=[0xFFFF86873D1923E0]
4464  1470  06/30 07:23:29 ### Registry_Cleanup(149) [TID=FFFFA402CD3282C0, 2022/06/30 14:23:27.938955Z] --- Registry=[0xFFFF86873D1923E0]
4464  1470  06/30 07:23:29 ### Registry_Cleanup(139) [TID=FFFFA402CD3282C0, 2022/06/30 14:23:27.938970Z] +++ Registry=[0xFFFF86873F3D7B10]
4464  1470  06/30 07:23:29 ### Registry_Cleanup(149) [TID=FFFFA402CD3282C0, 2022/06/30 14:23:27.938978Z] --- Registry=[0xFFFF86873F3D7B10]
4464  1470  06/30 07:23:34 ### FilterSet_New(65) [TID=FFFFA402CC352080, 2022/06/30 14:23:28.482183Z] +++
4464  1470  06/30 07:23:34 ### FilterSet_New(93) [TID=FFFFA402CC352080, 2022/06/30 14:23:28.482197Z] --- FilterSet=[0xFFFF868739FEE9D0], status=[0x00000000]
4464  1470  06/30 07:23:34 ### GlobalEncryption_SetBlockOpen(769) [TID=FFFFA402CC352080, 2022/06/30 14:23:28.482314Z] |== UNC    Exception, Term=<P:ci,A>\UNC\*\PIPE\**
4464  1470  06/30 07:23:34 ### GlobalEncryption_SetBlockOpen(769) [TID=FFFFA402CC352080, 2022/06/30 14:23:28.482325Z] |-- Volume{1054d610-eef4-4124-b55b-31fb06804016}
4464  1470  06/30 07:23:34 ### GlobalEncryption_SetBlockOpen(769) [TID=FFFFA402CC352080, 2022/06/30 14:23:28.482335Z] |--|-- Program Files
4464  1470  06/30 07:23:34 ### GlobalEncryption_SetBlockOpen(769) [TID=FFFFA402CC352080, 2022/06/30 14:23:28.482346Z] |--|--|-- Metallic
4464  1470  06/30 07:23:34 ### GlobalEncryption_SetBlockOpen(769) [TID=FFFFA402CC352080, 2022/06/30 14:23:28.482356Z] |--|--|--|-- ContentStore
4464  1470  06/30 07:23:34 ### GlobalEncryption_SetBlockOpen(769) [TID=FFFFA402CC352080, 2022/06/30 14:23:28.482367Z] |--|--|--|--|-- IndexCache
4464  1470  06/30 07:23:34 ### GlobalEncryption_SetBlockOpen(769) [TID=FFFFA402CC352080, 2022/06/30 14:23:28.482379Z] |==|==|==|==|==|== CvIdxDB    Filter
4464  1470  06/30 07:23:34 ### GlobalEncryption_SetBlockOpen(769) [TID=FFFFA402CC352080, 2022/06/30 14:23:28.482392Z] |==|==|==|==|==|== CvIdxReports    Filter
4464  1470  06/30 07:23:34 ### GlobalEncryption_SetBlockOpen(769) [TID=FFFFA402CC352080, 2022/06/30 14:23:28.482406Z] |==|==|==|==|==|== CV_Index    Filter
4464  1470  06/30 07:23:34 ### GlobalEncryption_SetBlockOpen(769) [TID=FFFFA402CC352080, 2022/06/30 14:23:28.482418Z] |-- Volume{211262ab-7e45-4deb-ab13-4bb80a2d1ef2}
4464  1470  06/30 07:23:34 ### GlobalEncryption_SetBlockOpen(769) [TID=FFFFA402CC352080, 2022/06/30 14:23:28.482427Z] |--|-- DiskLibrary
4464  1470  06/30 07:23:34 ### GlobalEncryption_SetBlockOpen(769) [TID=FFFFA402CC352080, 2022/06/30 14:23:28.482436Z] |--|--|-- U6N145_06.30.2022_14.23
4464  1470  06/30 07:23:34 ### GlobalEncryption_SetBlockOpen(769) [TID=FFFFA402CC352080, 2022/06/30 14:23:28.482447Z] |==|==|==|== CV_MAGNETIC    Filter
4464  1470  06/30 07:23:34 ### Registry_Init(113) [TID=FFFFA402CC352080, 2022/06/30 14:23:28.482459Z] +++ Registry=[0xFFFF86873F3D8A40]
4464  1470  06/30 07:23:34 ### Registry_Init(124) [TID=FFFFA402CC352080, 2022/06/30 14:23:28.482467Z] --- Registry=[0xFFFF86873F3D8A40], status=[0x00000000]
4464  1470  06/30 07:23:34 ### Registry_CreateParametersKey(291) [TID=FFFFA402CC352080, 2022/06/30 14:23:28.482671Z] Registry key [\REGISTRY\MACHINE\SYSTEM\ControlSet001\Services\CVDLP\Parameters\BlockOpenFolderPolicy\0] opened
4464  1470  06/30 07:23:34 ### Registry_SetValue(453) [TID=FFFFA402CC352080, 2022/06/30 14:23:28.482713Z] Writing registry, Key=[\REGISTRY\MACHINE\SYSTEM\ControlSet001\Services\CVDLP\Parameters\BlockOpenFolderPolicy\0], Value=[Buffer], ulType=[3]
4464  1470  06/30 07:23:34 ### Registry_Cleanup(139) [TID=FFFFA402CC352080, 2022/06/30 14:23:28.482723Z] +++ Registry=[0xFFFF86873F3D8A40]
4464  1470  06/30 07:23:34 ### Registry_Cleanup(149) [TID=FFFFA402CC352080, 2022/06/30 14:23:28.482771Z] --- Registry=[0xFFFF86873F3D8A40]
4464  1470  06/30 07:23:34 ### FilterSet_New(65) [TID=FFFFA402CC352080, 2022/06/30 14:23:28.544383Z] +++
4464  1470  06/30 07:23:34 ### FilterSet_New(93) [TID=FFFFA402CC352080, 2022/06/30 14:23:28.544394Z] --- FilterSet=[0xFFFF86873E387B80], status=[0x00000000]
4464  1470  06/30 07:23:34 ### GlobalEncryption_SetProtectVolume(848) [TID=FFFFA402CC352080, 2022/06/30 14:23:28.544591Z] |-- Volume{1054d610-eef4-4124-b55b-31fb06804016}
4464  1470  06/30 07:23:34 ### GlobalEncryption_SetProtectVolume(848) [TID=FFFFA402CC352080, 2022/06/30 14:23:28.544605Z] |==|== Program Files    Filter, Term=<M:ci,A>\Volume{1054d610-eef4-4124-b55b-31fb06804016}\Program Files
4464  1470  06/30 07:23:34 ### GlobalEncryption_SetProtectVolume(848) [TID=FFFFA402CC352080, 2022/06/30 14:23:28.544619Z] |==|==|== Metallic    Filter, Term=<M:ci,A>\Volume{1054d610-eef4-4124-b55b-31fb06804016}\Program Files\Metallic
4464  1470  06/30 07:23:34 ### GlobalEncryption_SetProtectVolume(848) [TID=FFFFA402CC352080, 2022/06/30 14:23:28.544635Z] |==|==|==|== ContentStore    Filter, Term=<M:ci,A>\Volume{1054d610-eef4-4124-b55b-31fb06804016}\Program Files\Metallic\ContentStore
4464  1470  06/30 07:23:34 ### GlobalEncryption_SetProtectVolume(848) [TID=FFFFA402CC352080, 2022/06/30 14:23:28.544656Z] |==|==|==|==|== IndexCache    Filter, Term=<M:ci,A>\Volume{1054d610-eef4-4124-b55b-31fb06804016}\Program Files\Metallic\ContentStore\IndexCache
4464  1470  06/30 07:23:34 ### GlobalEncryption_SetProtectVolume(848) [TID=FFFFA402CC352080, 2022/06/30 14:23:28.544672Z] |==|==|==|==|==|== CvIdxDB    Filter, Term=<M:ci,A>\Volume{1054d610-eef4-4124-b55b-31fb06804016}\Program Files\Metallic\ContentStore\IndexCache\CvIdxDB
4464  1470  06/30 07:23:34 ### GlobalEncryption_SetProtectVolume(848) [TID=FFFFA402CC352080, 2022/06/30 14:23:28.544687Z] |==|==|==|==|==|== CvIdxReports    Filter, Term=<M:ci,A>\Volume{1054d610-eef4-4124-b55b-31fb06804016}\Program Files\Metallic\ContentStore\IndexCache\CvIdxReports
4464  1470  06/30 07:23:34 ### GlobalEncryption_SetProtectVolume(848) [TID=FFFFA402CC352080, 2022/06/30 14:23:28.544702Z] |==|==|==|==|==|== CV_Index    Filter, Term=<M:ci,A>\Volume{1054d610-eef4-4124-b55b-31fb06804016}\Program Files\Metallic\ContentStore\IndexCache\CV_Index
